case_id,case_type,execution_status,engine_top1,gold_preferred,top1_match,top3_match,pairwise_correct,pairwise_total,regret,kendall_tau,acceptable_recall,not_acceptable_exclusion,dimension_agreement,dimension_detail
OC-01,occasion_distinction,success,A,A,true,true,6,6,0,1,0,1,,
OC-02,occasion_distinction,success,A,A,true,true,6,6,0,1,0.3333333333333333,1,,
OC-03,occasion_distinction,success,C,A,false,true,5,6,6,0.6666666666666666,0.3333333333333333,1,,
OC-04,occasion_distinction,success,B,A,false,true,4,6,6,0.3333333333333333,0,1,,
OC-05,occasion_distinction,success,B,B,true,true,5,6,0,0.6666666666666666,0,1,,
OC-06,occasion_distinction,success,D,A,false,true,1,6,23,-0.6666666666666666,0,1,,
OC-07,occasion_distinction,success,B,B,true,true,5,6,0,0.6666666666666666,0,1,,
OC-08,occasion_distinction,success,A,A,true,true,3,6,0,0,0,1,,
OC-09,occasion_distinction,success,B,B,true,true,5,6,0,0.6666666666666666,0.3333333333333333,1,,
OC-10,occasion_distinction,success,D,A,false,true,4,6,19,0.3333333333333333,0,0.5,,
OC-11,occasion_distinction,success,A,B,false,true,4,6,6,0.3333333333333333,0.75,1,,
OC-12,occasion_distinction,success,B,B,true,true,6,6,0,1,0.3333333333333333,1,,
OC-13,occasion_distinction,success,C,A,false,false,2,6,13,-0.3333333333333333,0,1,,
OC-14,occasion_distinction,success,A,A,true,true,5,6,0,0.6666666666666666,0.3333333333333333,1,,
OC-15,occasion_distinction,success,A,A,true,true,5,6,0,0.6666666666666666,0,1,,
OC-16,occasion_distinction,success,B,C,false,true,3,6,14,0,0.6666666666666666,1,,
OC-17,occasion_distinction,success,A,A,true,true,6,6,0,1,0,1,,
OC-18,occasion_distinction,success,D,B,false,true,3,6,23,0,0,1,,
OC-19,occasion_distinction,success,C,A,false,true,3,6,13,0,0,1,,
OC-20,occasion_distinction,success,A,A,true,true,5,6,0,0.6666666666666666,0,1,,
